-1029700756;-1166678905;1156066895;-208131576;404465580;408681488;-255807209;-847693539;213813472;350308204;-0.06407356;0.98330212;200134420;147868252;-0.40292072;160976803;-262792277;274171543;-228338909;123970795;-182724667;-158161497;202786493;-0.39405203;-144615936;-0.60383409;247522449;-109659052;131142235;-0.34620619;-0.82216394;-101209509;162056935;0.26289278;0.45735151;136522615;-112144470;-0.07117480;-0.91487825;-144009924;-219252634;0.83010828;0.45290488;108559155;196038878;-0.87715614;0.37765139;-0.30798841;-0.01794434;0.44264925;0.62042207;-113598573;0.08879852;0.18696856;107808280;0.92192733;0.49638724;-0.64366663;0.28410369;0.28655457;0.34862512;181469083;-135135269;-0.47391036
-503600883;-1288533306;0.16115522;0.59245980;312353373;422046947;-641177082;-633532810;-0.24462175;134607291;-188800526;-142550921;354610562;-272800231;0.14567113;0.14437258;107079887;167683434;345810533;214182425;-0.00893003;-189980483;-0.20159173;0.38636827;0.32523608;-0.85755080;259981155;0.64687467;-0.88492870;-0.78992248;-101107252;108524919;-101081109;-0.52800637;-0.95061064;0.86637902;-117444313;-0.12563044;0.68375850;-0.28021210;-0.65806437;-0.09999166;312731576;0.21415664;-0.78307116;-0.42782736;-256055880;-162772012;-147544909;0.08751369;-0.66946489;-137867332;-156827331;-113307738;0.94235277;293879056;142988288;-233634424;128162766;-0.09832084;0.58235699;0.48579174;0.64245057;0.61310709
-963915730;-665589762;0.38868687;-171764970;0.30034566;340076900;-724078465;-165940475;-0.87400484;415340328;-473282719;237187290;-0.79178405;260947013;-220391130;-443581343;-0.76231313;-0.39408088;113350272;264404106;-387646961;306737208;-0.15099674;-0.81416202;129000688;-0.88531619;259749889;-326802540;-177711105;-0.25931001;-288796043;0.80343604;0.88598740;116418111;-267226529;0.21301402;250261712;0.01169091;-0.24138141;-0.50314313;-201774025;0.62305349;0.29799530;0.45353943;-0.52346694;117260945;-103432989;-104553866;-151997733;157861912;0.77229238;-164467287;0.55519545;0.37211597;-0.41317409;-0.02302837;-0.02526498;125983810;-0.44135952;-0.96009386;199584341;109774804;0.82718205;-176784039
-665037489;-704385138;410435009;-234278035;349465847;392482209;-987481213;-655657578;-136426878;115330791;-0.52579093;130655193;348946643;398759222;-135632849;-0.85752630;118055677;-440637112;-176198769;274206448;-160130620;0.72142315;288897300;-0.98409808;-0.90093124;0.28038907;0.00023922;-223101187;-107799864;-149962640;-201117992;0.74187589;-0.30311966;0.14971310;0.07259911;-251524448;0.59398389;-134273124;0.45423162;-0.98987669;0.38891983;-0.53934062;0.83394969;-0.29263312;0.00102115;0.54033875;0.85815847;-0.72720027;144151688;-0.13320547;-107208598;-157570672;0.27611160;-0.55331683;-0.96123606;-104381537;-0.20450807;-198115003;0.98243803;-0.14423257;-144932783;-0.91355228;-0.77173537;0.30499166
-1066452408;-1097413254;0.19439051;0.45388469;219308758;-330466342;-837659168;-424114609;296481824;-0.94962198;-149319553;-132538962;172949123;-0.63802475;-178516102;126610661;0.68363190;310604882;0.81261969;170978236;184516191;-260205603;-0.00562409;-0.14986587;0.54909253;-127237809;198250115;110676837;0.18394923;0.06128049;0.40201354;0.81485009;-379640913;-131794524;-121073055;-122360432;-128110492;0.35282964;0.26476979;-129544103;-148274112;-0.56818974;0.88733780;218046236;243958783;122839928;-208400083;0.31535935;-0.87788588;0.84851408;-0.65470469;-0.40614486;-0.33539081;-0.72284675;0.15295726;144816041;-125490713;-348129487;-0.56388867;152933514;0.51039940;0.29831785;-0.94321269;114984739
343761778;-391450167;-112680268;403733730;-251349759;173334265;-881278515;-418172646;866211700;-278392625;471745014;602195644;826852226;153816581;0.33972073;425197697;-158556354;230210304;198904133;101600456;0.14805859;-0.63774627;-405436325;396678066;-182035065;376235247;0.01849514;150801635;0.84758711;-254333544;-182369840;213441086;237541938;256613088;120078290;-372988772;200805211;-0.78168851;211913109;-318023324;126827073;-0.07902773;-146358788;305115390;0.43409252;-0.63722652;103862607;0.73440015;-0.52425808;0.85377204;0.68123037;252312851;0.28975725;-0.32469475;-0.56110281;0.89597452;0.52090955;-205292678;-0.57287437;0.17989838;-110531461;-0.75876600;142064130;164978492
-1398687077;-961089706;999692726;-332652187;360003996;-111808157;-524666786;-325996327;239734578;-180013680;-0.03508186;0.97372365;177047396;273173714;-0.62477922;152598596;-201748610;154783702;-438622856;178231001;-0.58108103;0.05264497;210602283;0.34989619;0.53983974;-118181860;202234697;-148034477;120617461;194224060;-141625702;0.84463072;-184133351;-0.91141778;0.47256970;-151660395;0.43416023;162544107;-0.11655295;-121438849;-216012669;132585573;0.58243203;-0.06360907;0.65575230;0.22022945;0.36864197;109851444;0.13944754;0.34232044;0.13026564;-0.19490480;116243696;0.86516386;-110842419;-160139573;-101506853;-125755322;-0.28989509;-0.09453368;107628357;-0.39815634;152253163;0.92108792
-1095148945;-1132759190;445351934;-269360018;114145672;-0.06617391;-937473774;-692607784;0.11543465;178865194;-0.63146782;-237157130;151382077;-0.05808178;-135270834;0.57543886;-0.62887645;0.13499141;-0.94782603;-0.03032994;-200385952;-188294744;100914037;-330583930;-120646811;-0.88408154;293054295;0.37994111;-0.07278490;-0.27647954;-125880754;-0.46680689;-0.66411942;0.86878777;-0.22851241;-0.11879042;-184368420;-0.05812305;-0.30778015;0.54651940;-0.76326126;0.17788911;-0.50234246;0.59062505;0.15358096;146150625;-0.54500943;-0.89935660;-0.54109621;0.10427713;-136749101;0.28856921;188805687;-0.08112621;-0.09526020;-0.65040207;-0.21611786;107190406;0.80500203;0.92722774;0.31506139;-0.06218287;0.98496926;0.25308716
-1314117336;-1300230408;1233443832;-300188780;288424301;-0.15115225;0.35371828;-110550380;359855676;0.55361831;-0.20296931;-0.29433846;240556335;-0.54101306;-0.34484816;344001627;-482740211;211421084;-232843590;-167416525;0.45099717;-0.40359515;197526312;0.82006288;-115583277;-128689206;295406055;0.91433334;0.66722131;0.53906560;-292117119;0.63459277;-0.72798419;-0.88445801;0.70718563;-143986726;0.86837626;276316833;-159167540;-116553187;-240987825;-0.41604424;-0.18437535;-0.29452175;-0.22035110;0.16643959;0.89440250;-133142281;-0.05367829;111944807;-0.02503638;0.48196787;-0.51656270;0.29529214;0.55565989;-0.09457046;0.70878196;-0.09180011;-0.27694249;-0.63486564;0.29471844;102031898;-0.56620491;0.47906640
-1033485031;-519397831;816801643;-0.39241692;270618200;376249838;-416494179;-0.97676826;0.54474783;0.95018053;-348539734;327946091;177233720;280083489;-215156507;-238730574;0.99675250;-0.30295706;0.77509356;390917110;-311364579;319658113;0.02342904;315575933;231847429;0.51206923;329236126;-311094022;-166327620;-161017156;-144254601;233875942;-154168737;188801026;107112074;0.37622365;143506908;-0.13419133;0.37348115;-237844658;-160623407;0.10396072;138474429;0.24101754;0.28038067;-0.69344521;0.33471394;-113014412;141490602;151424611;0.73238838;-128599107;-0.11191750;-0.99477172;0.27878100;-0.83014452;-115246129;162202549;0.38443023;-102590668;-0.32227629;0.54187149;0.81351554;0.04528630
